product_id,product_name,category,subcategory,brand,price,mrp,discount_percent,description,rating,num_reviews,image_url,stock,is_featured,tags,category_enc,subcategory_enc,price_norm,rating_norm,discount_norm,reviews_norm,popularity_score
P000001,Apple Smartphone Plus 242,Electronics,Smartphone,Apple,5976.14,7395.56,19.2,"Premium quality Smartphone by Apple. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",4.3,24137,https://picsum.photos/seed/phone/400/400,52,False,"apple,trending,bestseller",3,65,0.0294272115739671,0.825,0.3556338028169014,0.9655103428960108,0.721273690436139
P000002,Samsung Smartphone Lite 716,Electronics,Smartphone,Samsung,6928.65,8378.95,17.3,"Premium quality Smartphone by Samsung. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",3.8,874,https://picsum.photos/seed/mobile/400/400,287,False,"sale,samsung,bestseller",3,65,0.0341969681992522,0.7,0.2887323943661972,0.0347297243228103,0.3354652626679131
P000003,Bose Smartphone Plus 814,Electronics,Smartphone,Bose,56358.95,86491.27,34.8,"Premium quality Smartphone by Bose. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",4.4,13853,https://picsum.photos/seed/smartphone/400/400,174,False,"bestseller,sale,electronics",3,65,0.2817224544564382,0.8500000000000001,0.9049295774647886,0.5540351298363542,0.6696517320624423
P000004,Apple Smartphone Elite 718,Electronics,Smartphone,Apple,19455.42,22341.79,12.9,"Premium quality Smartphone by Apple. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",5.0,8672,https://picsum.photos/seed/cellphone/400/400,413,False,"recommended,trending,smartphone",3,65,0.0969255948813061,1.0,0.1338028169014085,0.3467370863841876,0.541428402769677
P000005,HP Smartphone Ultra 733,Electronics,Smartphone,HP,16680.24,20793.41,19.8,"Premium quality Smartphone by HP. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",3.7,11855,https://picsum.photos/seed/iphone1/400/400,295,False,"hp,smartphone,new arrival",3,65,0.0830286980598987,0.675,0.3767605633802817,0.4740927459688713,0.4924465455961472
P000006,OnePlus Smartphone Plus 987,Electronics,Smartphone,OnePlus,154839.6,246599.21,37.2,"Premium quality Smartphone by OnePlus. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",3.7,3314,https://picsum.photos/seed/phone1/400/400,194,False,"new arrival,oneplus,electronics",3,65,0.7748708022951878,0.675,0.98943661971831,0.1323570599767934,0.4647404639496242
P000007,Dell Smartphone Ultra 763,Electronics,Smartphone,Dell,42690.9,52658.75,18.9,"Premium quality Smartphone by Dell. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",5.0,2344,https://picsum.photos/seed/mobile1/400/400,311,False,"bestseller,dell,recommended",3,65,0.2132787929282352,1.0,0.3450704225352112,0.0935461929340215,0.4845017309071892
P000008,HP Smartphone Ultra 670,Electronics,Smartphone,HP,54718.62,85508.55,36.0,"Premium quality Smartphone by HP. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",4.5,7201,https://picsum.photos/seed/smartphone1/400/400,350,False,"smartphone,hp,recommended",3,65,0.2735083938322411,0.875,0.9471830985915494,0.2878806065698395,0.5928356770881762
P000009,Dell Smartphone Lite 997,Electronics,Smartphone,Dell,80830.79,91588.91,11.7,"Premium quality Smartphone by Dell. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",3.5,23529,https://picsum.photos/seed/cellphone1/400/400,161,False,"recommended,bestseller,new arrival",3,65,0.4042668067182706,0.625,0.0915492957746478,0.9411835313887889,0.5931466303522733
P000010,Asus Smartphone Ultra 674,Electronics,Smartphone,Asus,29430.45,34428.19,14.5,"Premium quality Smartphone by Asus. Features advanced technology, durable build and elegant design. Ideal for daily use. Comes with 1-year warranty.",4.3,17666,https://picsum.photos/seed/iphone2/400/400,134,False,"sale,trending,bestseller",3,65,0.1468762152736569,0.825,0.1901408450704225,0.7065978473972712,0.6058303733496083
